0,1,2,3,4,5,6,7,8,9,10,11,12,MWD,Mn,conv
-5.663477421,-0.209982395,3.098136187,0.654592037,-0.699947357,4.925785542,3.996956825,-3.34120369,-2.702807188,-1.626173973,-2.212214708,-1.637866378,0.313025355,1.962336766,2015.468384,0.262976295
-5.969648361,4.43431139,-1.304644942,-0.116938114,-0.717590928,6.993172169,6.930876732,-3.55011034,-2.738950968,-3.65794301,-3.666324377,-1.830168605,-0.450221658,1.983399103,793.2363892,0.059008276
-5.192226887,-1.661668301,0.938375592,-0.281232595,1.692618608,2.979124308,3.536797523,-3.705958128,-3.19222784,-2.946119308,-2.380596638,-2.388053179,-0.623840094,2.019561094,7042.796387,0.234619296
-5.589920044,2.166518927,-1.822391391,-1.058652163,-0.186282992,3.841640472,2.176180124,-3.634907961,-3.991749525,-1.109668255,-3.713404417,-2.179793358,-0.815099239,1.918285541,3101.563965,0.634850381
-4.525431156,-0.383832455,1.826864481,1.81406188,0.277317286,3.198558331,3.241113901,-3.721386433,-2.785383224,-1.124353886,-2.108550072,-1.786034107,-0.61346215,1.632700854,1350.634644,0.126645988
-5.037503242,2.030857563,2.929749489,-0.735972166,0.006052256,1.11559093,6.641668797,-4.105557442,-2.561175585,-4.112192631,-4.989621162,-1.086789966,0.518143058,13.63308424,3190.356689,1.000000006
-5.071888924,3.92269063,-0.898085833,-1.651554942,1.102115154,4.718585014,6.096883297,-3.357158422,-4.596826077,-4.426412106,-4.838652611,-1.847854853,-0.317314684,1.216437273,361.8630981,0.025684988
-5.383298397,3.771428347,-1.720210552,1.354096889,1.826748133,5.864822865,2.74302578,-4.415169239,-4.562224865,-1.531279564,-2.446058512,-2.543816566,0.48961556,2.332563006,9027.320313,0.176564103
-5.325687885,3.563895226,0.708135486,-1.018146992,-1.527989864,5.208940506,1.543073773,-3.333830357,-1.365597725,-4.977498055,-3.035083294,-2.961810589,-0.963994026,1.990769744,5056.79834,0.9996301
-4.815626621,3.601298571,3.704039097,0.259315729,0.344156504,3.574815273,5.114366531,-2.357610703,-1.064665794,-2.230101585,-4.784225464,-1.407667994,-0.524242103,2.895950546,3337.705566,1.000000006
-4.749085426,-1.550315261,2.257268667,-0.732385039,1.278017998,1.80054605,4.470170021,-2.024176359,-3.152432203,-4.295451164,-3.861733913,-1.926528573,0.138664842,2.302359583,8557.670898,0.543311296
-5.223539829,-1.323335409,4.142697811,0.799473763,-1.891909003,2.09935379,1.306123018,-4.084247112,-4.831448555,-3.081136227,-2.096690178,-2.811953545,-0.452789485,1.958916868,12349.98438,0.097394681
-5.240493774,2.945195436,-0.82463479,-1.753409386,0.319837064,3.507428408,3.636568785,-3.221206188,-4.10873127,-3.296510696,-3.911510944,-1.607993603,-0.402276844,1.827677414,1731.830078,0.214264309
