0,1,2,3,4,5,6,7,8,9,10,11,12,MWD,Mn,conv
-7.008722246,-1.208147295,3.124215245,-1.60042277,-0.390751481,3.720934391,6.985484242,-4.085136145,-2.820068598,-4.497948885,-4.303084001,-2.848307818,-0.338476717,2.123994108,3253.765381,0.0264445
-7.550937265,2.423849583,2.154929459,1.727083445,-1.024707258,5.057243109,2.793256819,-2.260667264,-1.060718298,-4.749940574,-3.878779411,-1.063215375,-0.148931503,1.671913373,766.236145,0.451351911
-7.127864957,2.949741125,2.498751581,1.758753061,0.814301491,1.749764636,3.183408082,-3.878079981,-2.678013563,-4.353806853,-4.216237247,-2.727002859,0.127904177,2.426570292,54101.87891,0.680459082
-6.645211577,-0.947264686,-1.872651901,0.186924934,-1.744126201,5.407371879,2.447113723,-2.447335422,-2.748799324,-3.060004354,-3.203104675,-1.31787312,0.373627424,1.259185757,286.6774597,0.082916103
-6.946918011,0.709188133,-1.402181588,1.808742762,1.346034288,3.004435718,6.539143205,-4.25343135,-4.167166352,-4.022257686,-4.527928755,-1.433911443,-0.436227381,2.123762075,410.1940613,0.094080299
-7.016034365,1.844203055,-1.443843924,-0.2912637,0.39573288,3.936115146,1.665896475,-3.343846798,-3.886043072,-2.957777977,-3.509797484,-1.599885345,0.333094478,1.843228598,1852.029785,0.2571747
-7.619500399,2.662707269,4.055823267,0.065146923,0.405287981,6.009999871,2.388240397,-2.511669636,-2.60248065,-2.055922508,-4.4182522,-1.491146088,-0.50653249,2.459548844,1716.838501,0.324670106
-6.743338943,0.343993276,1.607915521,-1.392477572,-0.433632493,5.658687711,4.463457108,-3.201833844,-3.467400312,-3.323826075,-2.669510663,-2.183406353,0.9411273,2.138202685,7755.73584,0.302458197
-6.351592898,-0.561463445,-1.012304768,0.215752363,0.333701372,2.830500185,4.05031538,-2.456755519,-1.943367958,-3.811284661,-3.93887493,-1.804462194,0.509090543,1.557672989,451.350708,0.041808501
-6.55576992,-1.934189877,-1.587215263,-1.427610636,-0.922864795,3.843796372,1.563299388,-2.024845302,-1.595851183,-4.373878479,-2.569044769,-2.298256814,-0.658807516,1.643111912,733.2739258,0.023085
-6.956386566,-1.447391286,3.819395125,-0.066011667,1.811766863,1.108810883,6.919302344,-2.168590605,-1.478469849,-4.572231919,-3.611726612,-2.75864701,0.127871752,3.091775076,9654.125977,0.093530297
-7.016264538,3.868866476,-0.273702238,-1.589528753,1.402489266,2.01498859,2.796173792,-2.256007942,-1.068758123,-2.023494771,-4.530444581,-1.846890586,-0.140957714,1.620868189,845.3959961,0.071817897
-6.558522519,3.627285262,3.778435354,-1.740613623,-1.461887688,3.712101836,1.195189104,-4.325117613,-4.794356577,-2.099523879,-4.94659638,-2.889352428,0.5694286,2.046180618,22050.88672,1
-6.296359465,1.747527503,2.22387433,-1.417261445,-1.791800381,2.911704733,3.772856047,-3.580748162,-4.025540534,-3.798177175,-3.935056403,-2.194423962,0.523842815,8.38883712,26316.43555,0.995786011
-6.438378893,3.980482394,0.82879279,-1.183435857,-0.005459784,3.849827601,4.556251892,-2.54443583,-1.855874967,-4.382428829,-3.988956371,-1.284621798,0.301283393,1.735073231,894.2471313,0.270297706
-6.56740754,2.932125186,1.841918636,-1.620035635,0.079509357,1.784302647,4.317912459,-2.577085918,-1.614576862,-3.926111363,-4.198577881,-1.622215653,-0.190875591,1.82054203,1395.025391,0.209594205
-6.198992261,0.677803316,-1.019274996,-0.220998947,-2,5.133909574,1,-4.655933625,-2.720544869,-1.106862729,-2.569054885,-1.197959988,-0.854832433,1.265476449,284.8139038,0.124921203
-6.00389095,2.305668065,-0.456409403,0.663544118,-1.046050237,3.633832782,6.990440831,-2.048601087,-1.598799242,-2.594303732,-2.57962975,-1.024978142,-0.239651314,1.725116236,366.619873,0.221508205
-6,-2,4.505909406,2,-1.782232844,7,1.097519423,-5,-1,-3.999571184,-3.260634888,-2.244902348,-0.146355968,1.168677316,251.9735718,0.0085939
-6.23847562,0.127510223,-1.962920738,-0.521116124,-1.867260303,6.843685724,3.188283678,-2.315958773,-2.848807606,-2.812753131,-3.554897622,-1.029332536,0.600117958,1.93622485,591.2664795,0.328718305
-6.000005145,4.955471225,0.00483465,-1.4877557,-0.137730213,1.57149433,6.980801382,-2.343715103,-2.043065537,-3.745753992,-3.34722851,-1.55854974,0.629618264,1.168423702,305.0132751,0.046886001
-6.72069534,2.14553089,0.836432924,-0.955168563,-1.454169264,2.629885078,3.669454075,-4.975968104,-2.882103767,-3.820967346,-2.41618125,-1,-0.854341615,2.692075864,1675.163208,0.970833004
-7.88704568,2.320628522,0.719289124,-0.595060184,1.380766104,2.998253301,3.162102997,-3.262264372,-4.024285194,-4.697028281,-3.794441197,-1.023037675,-0.433601861,1.70148298,1021.454712,0.515558898
-7.225669962,-1.855663085,1.474811115,0.286284911,-1.87290558,4.144514153,4.024574369,-3.647782132,-4.952269012,-3.4849571,-4.196688827,-1.255411023,-0.925319817,1.188248103,260.6447754,0.086801097
-6.702115807,3.750828795,4.593028835,-0.850963781,-1.525162267,3.657897136,1.025084081,-4.385282421,-4.940473889,-1.883816264,-5,-3,0.575145541,3.377679817,14996.63184,1
-7.49488697,3.308780156,4.94380307,0.582543258,1.60522613,1.458274704,3.435328664,-3.442683652,-3.556533762,-3.507535078,-3.079852309,-1.333144486,-0.340602385,4.208614077,16487.52344,1
-6.589308242,4.084163115,0.944420317,-1.99956981,0.047266175,3.553606443,1.23157387,-4.618744583,-4.970555766,-1.099216355,-4.989749996,-2.999332688,-0.299517536,2.209620583,3379.567627,0.90567559
-6.458600173,-1.073679461,-1.833061137,-1.622473489,1.207876652,6.276854915,5.255983365,-3.332024292,-1.110691735,-2.892719747,-4.496203413,-1.983559445,-0.224764638,1.120766684,216.3157654,0.0132317
-6.957064477,1.568980467,1.782865783,0.245417504,-1.711023394,2.698887941,3.426826602,-4.284103459,-4.786650978,-3.276562126,-4.093779168,-1.211043037,-0.616983615,1.933833032,1883.088257,0.695788682
-6,4.952216705,0.355874533,-1.727514663,0.378033311,4.859787681,7,-2.693380771,-2.171481453,-4.345259854,-3.084248109,-1.521703811,0.5472329,1.123185868,293.1067505,0.048672501
-7.188973033,1.489091465,1.255045273,0.535473834,-1.452086217,2.416765065,3.190136316,-3.290666943,-3.792287958,-3.948520722,-3.036008162,-1.048490476,-0.942620665,1.865018301,1237.152954,0.671924293
-6.576580731,4.501268394,-0.601411132,-0.001355344,-1.979418839,2.651618972,1.130216044,-3.72097936,-3.91291898,-2.459464672,-3.280950011,-2.817987055,-0.034995873,2.708455043,36462.39453,0.836785913
-7.910969863,-0.790191022,-0.35453097,-0.099755415,-1.115541822,4.62779529,5.008730405,-4.461472895,-2.207050846,-4.319152179,-3.534173532,-1.566744531,-0.473185064,1.50422652,384.353363,0.062072199
-6.220953644,-0.321072504,3.763571107,-0.689485101,-1.128460417,6.51928626,6.443495555,-2.03231368,-4.955193302,-3.760551824,-3.639296109,-2.906235291,0.019485561,1.499007525,370.4763184,0.0027221
-6.312491476,3.574940138,4.963721158,-2,-1.635661876,2.545426304,1.111816499,-4.581533978,-2.997441557,-2.299656209,-4.994790652,-2.09613153,-0.917493344,2.189671935,28290.33008,1
-7.437165519,0.139566235,-0.501344856,-1.480750302,-1.342881165,4.47144717,5.855970469,-3.598786147,-2.467744255,-3.707396883,-3.47409009,-1.75809414,0.10741146,1.862488051,1301.332153,0.132238299
-6.326799373,1.955797356,0.616811778,-0.011310268,-1.999293074,2.315037362,1.921997986,-4.616754144,-3.021074024,-1.904206749,-2.916459776,-1.269824361,-0.764702053,2.035360244,2205.746826,0.814029872
-6.670644794,1.448865073,-0.57414054,0.069875544,-0.824984947,3.232298923,6.228350921,-2.611966435,-2.717670698,-4.716523092,-4.662967426,-1.81145583,0.838087774,1.876437872,921.4020996,0.085144199
